2 1 0 0.1 0.04 0 0.0386842 0.994015 0.0386842 0.994015 0 0 0 0 
1 1 0 0.10399 0.04 0 0.0386946 0.993737 0.0386946 0.993737 0.358411 0 7.54873e-09 0 
1 1 0 0.10798 0.04 0 0.0387051 0.993455 0.0387051 0.993455 0.358655 0 9.45221e-09 0 
1 1 0 0.11596 0.04 0 0.0387266 0.992881 0.0387266 0.992881 0.359158 0 1.47644e-08 0 
1 1 0 0.131915 0.04 0 0.0387715 0.991687 0.0387715 0.991687 0.360229 0 3.54836e-08 0 
1 1 0 0.16381 0.04 0 0.038869 0.989097 0.038869 0.989097 0.362672 0 1.9296e-07 0 
1 1 0 0.2116 0.04 0 0.0390392 0.984611 0.0390392 0.984611 0.36731 0 2.10315e-06 0 
1 1 0 0.283086 0.04 0 0.0393689 0.97603 0.0393689 0.97603 0.377748 0 5.36894e-05 0 
1 1 0 0.389163 0.04 0 0.0401703 0.955759 0.0401703 0.955759 0.412414 0 0.00312383 0 
1 1 0 0.496377 0.04 0 0.0423445 0.904632 0.0423445 0.904632 0.590145 0 0.0718549 0 
2 1 0 0.527319 0.04 0 0.0460859 0.827944 0.0460859 0.827944 1.00006 0 0.164853 0 
2 1 0 0.498509 0.04 0 0.0531275 0.712906 0.0531275 0.712906 0.213102 0 1.42448 0 
2 1 0 0.441066 0.04 0 0.0628994 0.595936 0.0628994 0.595936 0.237858 0 1.6508 0 
2 1 0 0.369048 0.04 0 0.0780555 0.472456 0.0780555 0.472456 0.25504 0 1.77914 0 
2 1 0 0.286316 0.04 0 0.105138 0.340453 0.105138 0.340453 0.259844 0 1.8118 0 
2 1 0 0.197849 0.04 0 0.164603 0.203009 0.164603 0.203009 1.62058 0 0.211198 0 
2 1 0 0.129303 0.04 0 0.30416 0.0915099 0.30416 0.0915099 1.16401 0 0.0298532 0 
2 1 0 0.109769 0.04 0 0.48793 0.0419789 0.48793 0.0419789 1.00373 0 1.25821e-05 0 
2 1 0 0.109714 0.04 0 0.499112 0.0401423 0.499112 0.0401423 1.00002 0 5.80758e-06 0 
1 1 0 0.127959 0.04 0 0.688291 0.0181149 0.688291 0.0181149 0.968699 0 1.30769e-16 0 
1 1 0 0.238328 0.04 0 0.86709 0.0061313 0.86709 0.0061313 0.961693 0 8.68721e-60 0 
1 1 0 0.438241 0.04 0 0.932803 0.00288149 0.932803 0.00288149 0.960989 0 6.51708e-136 0 
1 1 0 0.647461 0.04 0 0.955601 0.00185849 0.955601 0.00185849 0.960872 0 1.91149e-215 0 
1 1 0 0.878652 0.04 0 0.967691 0.00133551 0.967691 0.00133551 0.960832 0 2.61583e-303 0 
1 1 0 1.1332 0.04 0 0.97514 0.00101977 0.97514 0.00101977 0.960814 0 0 0 
1 1 0 1.51514 0.04 0 0.981527 0.000752817 0.981527 0.000752817 0.960803 0 0 0 
1 1 0 2.01511 0.04 0 0.986176 0.000560713 0.986176 0.000560713 0.960797 0 0 0 
